"","agency_cd","site_no","Date","Wtemp","Wtemp_cd"
"1","USGS","01021050",2010-06-01,19.1,"A"
"2","USGS","01021050",2010-06-02,18.1,"A"
"3","USGS","01021050",2010-06-03,18.6,"A"
"4","USGS","01021050",2010-06-04,17.9,"A"
"5","USGS","01021050",2010-06-05,18.9,"A"
"6","USGS","01021050",2010-06-06,17.9,"A"
"7","USGS","01021050",2010-06-07,17.7,"A"
"8","USGS","01021050",2010-06-08,17.5,"A"
"9","USGS","01021050",2010-06-09,17.7,"A"
"10","USGS","01021050",2010-06-10,17.8,"A"
"11","USGS","01021050",2010-06-11,18.2,"A"
"12","USGS","01021050",2010-06-12,19,"A"
"13","USGS","01021050",2010-06-13,19.6,"A"
"14","USGS","01021050",2010-06-14,19.7,"A"
"15","USGS","01021050",2010-06-15,19.5,"A"
"16","USGS","01021050",2010-06-16,19.9,"A"
"17","USGS","01021050",2010-06-17,20,"A"
"18","USGS","01021050",2010-06-18,20.8,"A"
"19","USGS","01021050",2010-06-19,22.3,"A"
"20","USGS","01021050",2010-06-20,22.1,"A"
"21","USGS","01021050",2010-06-21,22.7,"A"
"22","USGS","01021050",2010-06-22,23.6,"A"
"23","USGS","01021050",2010-06-23,22.3,"A"
"24","USGS","01021050",2010-06-24,21.3,"A"
"25","USGS","01021050",2010-06-25,22.4,"A"
"26","USGS","01021050",2010-06-26,22.7,"A"
"27","USGS","01021050",2010-06-27,22.9,"A"
"28","USGS","01021050",2010-06-28,22,"A"
"29","USGS","01021050",2010-06-29,21.5,"A"
"30","USGS","01021050",2010-06-30,22.2,"A"
"31","USGS","01021050",2010-07-01,21.9,"A"
"32","USGS","01021050",2010-07-02,21.9,"A"
"33","USGS","01021050",2010-07-03,22.2,"A"
"34","USGS","01021050",2010-07-04,22.8,"A"
"35","USGS","01021050",2010-07-05,23.9,"A"
"36","USGS","01021050",2010-07-06,23.9,"A"
"37","USGS","01021050",2010-07-07,24.2,"A"
"38","USGS","01021050",2010-07-08,24.9,"A"
"39","USGS","01021050",2010-07-09,25.5,"A"
"40","USGS","01021050",2010-07-10,25.9,"A"
"41","USGS","01021050",2010-07-11,25.4,"A"
"42","USGS","01021050",2010-07-12,25.6,"A"
"43","USGS","01021050",2010-07-13,25.6,"A"
"44","USGS","01021050",2010-07-14,24.7,"A"
"45","USGS","01021050",2010-07-15,25.7,"A"
"46","USGS","01021050",2010-07-16,26.4,"A"
"47","USGS","01021050",2010-07-17,26.1,"A"
"48","USGS","01021050",2010-07-18,26.7,"A"
"49","USGS","01021050",2010-07-19,26.4,"A"
"50","USGS","01021050",2010-07-20,25.7,"A"
"51","USGS","01021050",2010-07-21,25.9,"A"
"52","USGS","01021050",2010-07-22,25.8,"A"
"53","USGS","01021050",2010-07-23,25.4,"A"
"54","USGS","01021050",2010-07-24,25.7,"A"
"55","USGS","01021050",2010-07-25,24.6,"A"
"56","USGS","01021050",2010-07-26,24.1,"A"
"57","USGS","01021050",2010-07-27,23.6,"A"
"58","USGS","01021050",2010-07-28,24.4,"A"
"59","USGS","01021050",2010-07-29,24.4,"A"
"60","USGS","01021050",2010-07-30,23.8,"A"
"61","USGS","01021050",2010-07-31,23.7,"A"
"62","USGS","01021050",2010-08-01,23.6,"A"
"63","USGS","01021050",2010-08-02,23.5,"A"
"64","USGS","01021050",2010-08-03,23,"A"
"65","USGS","01021050",2010-08-04,23.1,"A"
"66","USGS","01021050",2010-08-05,24.3,"A"
"67","USGS","01021050",2010-08-06,24.5,"A"
"68","USGS","01021050",2010-08-07,23.6,"A"
"69","USGS","01021050",2010-08-08,23.2,"A"
"70","USGS","01021050",2010-08-09,23.6,"A"
"71","USGS","01021050",2010-08-10,24.2,"A"
"72","USGS","01021050",2010-08-11,24.8,"A"
"73","USGS","01021050",2010-08-12,24,"A"
"74","USGS","01021050",2010-08-13,23.6,"A"
"75","USGS","01021050",2010-08-14,24.2,"A"
"76","USGS","01021050",2010-08-15,24,"A"
"77","USGS","01021050",2010-08-16,22.9,"A"
"78","USGS","01021050",2010-08-17,22.9,"A"
"79","USGS","01021050",2010-08-18,24,"A"
"80","USGS","01021050",2010-08-19,24.2,"A"
"81","USGS","01021050",2010-08-20,23.7,"A"
"82","USGS","01021050",2010-08-21,22.4,"A"
"83","USGS","01021050",2010-08-22,23.2,"A"
"84","USGS","01021050",2010-08-23,23.1,"A"
"85","USGS","01021050",2010-08-24,22.6,"A"
"86","USGS","01021050",2010-08-25,22.8,"A"
"87","USGS","01021050",2010-08-26,22.1,"A"
"88","USGS","01021050",2010-08-27,22,"A"
"89","USGS","01021050",2010-08-28,22.2,"A"
"90","USGS","01021050",2010-08-29,22.9,"A"
"91","USGS","01021050",2010-08-30,24,"A"
"92","USGS","01021050",2010-08-31,24.6,"A"
"93","USGS","01021050",2010-09-01,25.6,"A"
"94","USGS","01021050",2010-09-02,26.1,"A"
"95","USGS","01021050",2010-09-03,26.3,"A"
"96","USGS","01021050",2010-09-04,25.1,"A"
"97","USGS","01021050",2010-09-05,23.2,"A"
"98","USGS","01021050",2010-09-06,22.5,"A"
"99","USGS","01021050",2010-09-07,22.2,"A"
"100","USGS","01021050",2010-09-08,21.9,"A"
"101","USGS","01021050",2010-09-09,21.6,"A"
"102","USGS","01021050",2010-09-10,21.2,"A"
"103","USGS","01021050",2010-09-11,19.8,"A"
"104","USGS","01021050",2010-09-12,19.5,"A"
"105","USGS","01021050",2010-09-13,19.4,"A"
"106","USGS","01021050",2010-09-14,18.9,"A"
"107","USGS","01021050",2010-09-15,18.3,"A"
"108","USGS","01021050",2010-09-16,18,"A"
"109","USGS","01021050",2010-09-17,18.1,"A"
"110","USGS","01021050",2010-09-18,17.5,"A"
"111","USGS","01021050",2010-09-19,17.4,"A"
"112","USGS","01021050",2010-09-20,17.1,"A"
"113","USGS","01021050",2010-09-21,16.3,"A"
"114","USGS","01021050",2010-09-22,16.7,"A"
