"","agency_cd","site_no","Date","Wtemp","Wtemp_cd"
"1","USGS","01036390",2010-01-01,0,"A"
"2","USGS","01036390",2010-01-02,-0.1,"A"
"3","USGS","01036390",2010-01-03,0,"A"
"4","USGS","01036390",2010-01-04,0,"A"
"5","USGS","01036390",2010-01-05,0,"A"
"6","USGS","01036390",2010-01-06,-0.1,"A"
"7","USGS","01036390",2010-01-07,0,"A"
"8","USGS","01036390",2010-01-08,0,"A"
"9","USGS","01036390",2010-01-09,0,"A"
"10","USGS","01036390",2010-01-10,0,"A"
"11","USGS","01036390",2010-01-11,0,"A"
"12","USGS","01036390",2010-01-12,0,"A"
"13","USGS","01036390",2010-01-13,0,"A"
"14","USGS","01036390",2010-01-14,0,"A"
"15","USGS","01036390",2010-01-15,0,"A"
"16","USGS","01036390",2010-01-16,0,"A"
"17","USGS","01036390",2010-01-17,0,"A"
"18","USGS","01036390",2010-01-18,0,"A"
"19","USGS","01036390",2010-01-19,0,"A"
"20","USGS","01036390",2010-01-20,0,"A"
"21","USGS","01036390",2010-01-21,0,"A"
"22","USGS","01036390",2010-01-22,0,"A"
"23","USGS","01036390",2010-01-23,0,"A"
"24","USGS","01036390",2010-01-24,0,"A"
"25","USGS","01036390",2010-01-25,0.1,"A"
"26","USGS","01036390",2010-01-26,0.1,"A"
"27","USGS","01036390",2010-01-27,0,"A"
"28","USGS","01036390",2010-01-28,0,"A"
"29","USGS","01036390",2010-01-29,0,"A"
"30","USGS","01036390",2010-01-30,0,"A"
"31","USGS","01036390",2010-01-31,0,"A"
"32","USGS","01036390",2010-02-01,0,"A"
"33","USGS","01036390",2010-02-02,0,"A"
"34","USGS","01036390",2010-02-03,0,"A"
"35","USGS","01036390",2010-02-04,0,"A"
"36","USGS","01036390",2010-02-05,0,"A"
"37","USGS","01036390",2010-02-06,0,"A"
"38","USGS","01036390",2010-02-07,0,"A"
"39","USGS","01036390",2010-02-08,0,"A"
"40","USGS","01036390",2010-02-09,0,"A"
"41","USGS","01036390",2010-02-10,0,"A"
"42","USGS","01036390",2010-02-11,0.1,"A"
"43","USGS","01036390",2010-02-12,0.1,"A"
"44","USGS","01036390",2010-02-13,0.1,"A"
"45","USGS","01036390",2010-02-14,0,"A"
"46","USGS","01036390",2010-02-15,0.1,"A"
"47","USGS","01036390",2010-02-16,0.1,"A"
"48","USGS","01036390",2010-02-17,0.1,"A"
"49","USGS","01036390",2010-02-18,0.2,"A"
"50","USGS","01036390",2010-02-19,0.2,"A"
"51","USGS","01036390",2010-02-20,0.2,"A"
"52","USGS","01036390",2010-02-21,0.1,"A"
"53","USGS","01036390",2010-02-22,0.2,"A"
"54","USGS","01036390",2010-02-23,0.2,"A"
"55","USGS","01036390",2010-02-24,0.2,"A"
"56","USGS","01036390",2010-02-25,0.2,"A"
"57","USGS","01036390",2010-02-26,0.3,"A"
"58","USGS","01036390",2010-02-27,0.3,"A"
"59","USGS","01036390",2010-02-28,0.2,"A"
"60","USGS","01036390",2010-03-01,0.2,"A"
"61","USGS","01036390",2010-03-02,0.3,"A"
"62","USGS","01036390",2010-03-03,0.2,"A"
"63","USGS","01036390",2010-03-04,0.2,"A"
"64","USGS","01036390",2010-03-05,0.2,"A"
"65","USGS","01036390",2010-03-06,0.4,"A"
"66","USGS","01036390",2010-03-07,0.5,"A"
"67","USGS","01036390",2010-03-08,0.6,"A"
"68","USGS","01036390",2010-03-09,0.4,"A"
"69","USGS","01036390",2010-03-10,0.5,"A"
"70","USGS","01036390",2010-03-11,0.6,"A"
"71","USGS","01036390",2010-03-12,1.4,"A"
"72","USGS","01036390",2010-03-13,2.3,"A"
"73","USGS","01036390",2010-03-14,2.7,"A"
"74","USGS","01036390",2010-03-15,3,"A"
